                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.501,                 4.3223,                 4.0339,                0.68777,                0.02364,                0.01756,                0.00442,                 3.4447,                 4.0219,                 3.8409,               0.070127,              0.0033193,              0.0033193
                      2,                 3.1128,                 3.7555,                 3.4372,                0.27946,                0.20914,                0.06997,                0.01745,                 2.9335,                 3.8271,                 3.1771,               0.040094,              0.0066197,              0.0066197
                      3,                 2.5272,                 3.1196,                 2.8843,                0.16885,                 0.3097,                0.15293,                 0.0508,                  2.423,                 3.6697,                  2.768,               0.010028,              0.0098871,              0.0098871
                      4,                 2.1011,                 2.6488,                 2.5023,                0.15055,                0.13559,                0.11541,                0.04968,                 2.6334,                 3.7915,                 2.8942,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8889,                 2.3743,                 2.3068,                0.27927,                0.29443,                0.23231,                0.09042,                 2.1837,                 2.6694,                 2.4899,               0.009802,               0.009802,               0.009802
                      6,                 1.7985,                  2.237,                 2.2171,                0.67575,                0.40212,                0.46802,                0.20901,                 1.8797,                 2.1582,                 2.1983,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7553,                 2.1471,                 2.1488,                0.60237,                0.43469,                0.46468,                0.20061,                  1.894,                 2.0955,                 2.1855,               0.009703,               0.009703,               0.009703
                      8,                 1.7152,                 2.0607,                  2.096,                0.49771,                0.47199,                0.47596,                0.21292,                 1.9355,                  2.077,                 2.2795,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6666,                 1.9939,                 2.0539,                 0.5733,                0.45226,                0.50662,                0.23664,                 1.8061,                 1.9337,                 2.1219,               0.009604,               0.009604,               0.009604
                     10,                 1.6482,                 1.9566,                 2.0321,                0.44305,                0.36369,                0.40632,                0.17093,                 2.0349,                 2.3273,                 2.3533,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6294,                 1.9195,                 1.9984,                0.49912,                0.53853,                0.50965,                0.24216,                 1.8289,                 1.9386,                 2.1714,               0.009505,               0.009505,               0.009505
                     12,                 1.6146,                   1.89,                 1.9828,                0.43757,                0.43335,                0.40892,                0.18807,                 1.9781,                 2.3929,                 2.2752,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5965,                 1.8657,                 1.9617,                0.55376,                0.51521,                0.53379,                0.25113,                 1.8069,                 1.9894,                 2.0963,               0.009406,               0.009406,               0.009406
                     14,                 1.5797,                 1.8447,                  1.959,                0.50555,                0.46387,                0.52848,                 0.2506,                  1.817,                 1.9099,                 2.1131,              0.0093565,              0.0093565,              0.0093565
